filepath,predicted_class,probability,inference_time_s
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/6e8fd67581a4d71d711d17eb229e7f58.jpg,16, 0.5450, 0.03830
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/00a7cfd0180e5b86a0a5e267b0b93a12.jpg,2, 0.8940, 0.02163
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/2171d672dc14c971c997753b1ac9e9b2.jpg,0, 0.9911, 0.02478
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/73eded77150ba2a8c7e9b9fcb36cff24.jpg,0, 0.9737, 0.02334
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/2d171264a12afc90f1186a19a1d3fd21.jpg,0, 0.9961, 0.02326
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/ba75b02bde84b5f792c88463110b5d44.jpg,0, 0.9917, 0.02800
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/5086fe81ec08b90e0ecd7db336da47f9.jpg,0, 0.9692, 0.02249
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/77556dc17e36d7fbf851a2a3c8fe08c3.jpg,16, 0.7881, 0.02166
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/120b14e074b95d6de0aeabc1c7b2b1d7.jpg,0, 0.9887, 0.02242
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/9e3bffe9c8f8f432c1a146b39b3882e0.jpg,0, 0.8740, 0.02869
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/ebce526fa71cb04edef6050cb4225e4f.jpg,0, 0.8981, 0.02145
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/63c354a24266024012d57e790ae17fae.jpg,0, 0.4770, 0.02090
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/11e40aca799c9ee459faa41607645e3e.jpg,0, 0.5833, 0.02311
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/601ddfe1c758dc7bdf1bd1af43108511.jpg,0, 0.9946, 0.02620
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/ae61fe0f3b3798a732175b1e2e9831b0.jpg,0, 0.9979, 0.02211
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/7aef7ce2d7466c025e0b63730f14e077.jpg,0, 0.8307, 0.02784
